ticker,segment,high_nii,name,price,market_cap,p_tbv,tbv_ps,pb,rotce,roa_ttm,roe,trailing_pe,forward_pe,fwd_eps_growth,rev_growth,div_yield,equity_assets,loan_deposit,securities_assets,nib_pct,nim,nim_trend_bps,funding_cost,good_score,rate_score,flags
EGBN,REGIONAL,False,"Eagle Bancorp, Inc.",27.27,831615488,0.7261361805911491,37.55493904435313,0.72609633,-0.10721262609655612,-0.011752129962506071,-0.1046,,10.408398,,0.353,0.0072000003,0.11505371407538123,0.796962090084629,0.02566142145273978,0.17327220779517055,0.03720933493147974,53.30496756802895,0.03455492760544084,37.3,41.6,
SFBS,REGIONAL,False,"ServisFirst Bancshares, Inc.",78.15,4271899904,2.2502371008395397,34.72967358454941,2.2341976,0.1671528868801087,0.016556222944248966,0.16549,13.831859,10.904647,0.1221,0.185,0.0194,0.10522298172936237,0.9515777043846199,0.02423207558165803,0.19581324892844057,0.04165781795147199,49.1843553872702,0.030308338384641025,54.9,51.7,
BFC,REGIONAL,False,Bank First Corporation,140.34,1575015296,3.085476325047359,45.48406314472237,1.9210184,0.16523941813922408,0.015344847279770027,0.09977,19.518776,11.665835,0.2176,0.491,0.0139,0.13508835785983653,0.8784099916332732,0.05702525270583536,0.29426993231129256,0.044214052144017205,39.72771872812322,0.018359189926234518,58.6,64.2,
FGBI,REGIONAL,False,"First Guaranty Bancshares, Inc.",9.72,160032496,0.7222953974751875,13.45709807092313,0.81598395,-0.20793446090101256,-0.01199839108026471,-0.19819,,14.953847,0.625,0.945,0.0041,0.05658396450006088,0.519348581229487,0.004587547637488752,0.11739382314234689,0.04498102509079801,65.7082339100442,0.036290746854289894,32.3,40.8,
STEL,REGIONAL,False,"Stellar Bancorp, Inc.",37.59,1914108928,1.7333077105341799,21.686859045019375,1.1466658,0.0985143759250715,0.009871561535012044,0.06413,18.247574,16.01278,0.0868,0.073,0.016,0.15315552177741273,0.8352830825171649,0.035064240713592244,0.35744549382599217,0.056477549346413025,48.249220853128634,0.01917413577138445,38.9,75.0,
KRE,ETF,False,State Street SPDR S&P Regional Banking ETF,70.17,,,,,,,,12.644817,,,,,,,,,,,,,,DATA_THIN
NRIM,REGIONAL,False,"Northrim BanCorp, Inc.",24.8,551670208,2.1502663979825303,11.53345465625487,1.6428193,0.2817009517961314,0.01987457895135873,0.21104999,8.611111,9.018182,0.0577,0.062,0.025799999,0.10009484611798594,0.8403905564374862,0.003023927928873161,0.28758456732084187,0.05666798888675391,20.000779133773765,0.015070112694401457,60.0,72.1,
FRST,REGIONAL,False,Primis Financial Corp.,15.0,371581088,1.128468806088454,13.29234793117023,0.8698173,0.15512143931061623,0.01162980059301165,0.1149,8.02139,7.8260736,0.2156,-0.227,0.026700001,0.10035971797659578,1.0438495909367773,0.002677211377537548,0.1580945731384008,0.03590542278344269,22.23632911359137,0.026732291937856114,65.7,43.1,
OBK,REGIONAL,False,"Origin Bancorp, Inc.",48.06,1485250688,1.3505729277933727,35.58489809100691,1.177566,0.07607413993467449,0.008189962766550067,0.06595,18.627909,11.308235,0.0766,0.093,0.0208,0.12370015578892485,0.8871520378316424,0.03680228705051676,0.23560060062117788,0.04285548676374368,28.8556392817621,0.023525213697093324,38.1,57.5,
NBN,REGIONAL,False,Northeast Bank,119.29,1020568896,1.7997546898035481,66.28125525986049,1.7978358,0.19091965460491195,0.021701061745920593,0.19002001,10.213184,8.226896,0.1983,0.346,0.00029999999,0.11276384081670274,1.2323070261375704,0.0015160616722446295,0.04673528921190157,0.055977712930618276,71.73055824995403,0.04164586701956208,69.8,53.1,
CARE,REGIONAL,False,"Carter Bankshares, Inc.",28.54,634216192,1.2612808682768701,22.627791095404962,1.2526335,0.25317717861670314,0.022557433073143382,0.2386,5.86037,11.119467,-0.5299,2.6,0.0139999995,0.1052039164289569,0.868024083584204,0.06599503674517167,0.15062463845109497,0.0357513234946821,26.114605473192,0.02343112685161975,62.3,34.2,
RBKB,REGIONAL,False,"Rhinebeck Bancorp, Inc.",16.38,181827200,1.3339437564926488,12.27937828733356,1.2848066,0.0765197295530505,0.0077516608203407064,0.07538,17.999998,,,0.012,,0.10790377525455942,0.8488969562081102,0.04591992789915221,0.20450624019023247,0.04779925508486246,40.18184239616467,0.020561782271973653,43.5,57.4,
